| Ejercicio | Nombre | Codigo (70%) | Test (30%) |
| --------- | ------ | ------------ | ---------- |
| P1  | PRACT0 | 0 | 30 |
| P2  | ARGS-VAR   | 60 | 0 |
| P3  | PRIMO      | 70 | 0 |
| P4  | INVERSO-TXT| 70 | 30 |
| P5  | INVERSO-INT| 50 | 0 |
| P6  | BUSQ-BIN   |  | 0 |
| P7  | SUM-RECU   | 70 | 0 |
| P8  | INV-MAT    |  |  |
| P9.a| BUBLESORT | 0 | 0 |
| P9.b| SELECTSORT | 0 |  |
| P9.c| INSERTSORT | 0 |  |
| P9.d| MERGESORT | 0 |  |
| P9.e| QUICKSORT | 0 |  |
| P10 | PASOS  |  |  |
| P11.a| BMINA-MINA |  |  |
| P11.b| BMINA-NUM |  |  |
| P11.c| BMINA-CLIC |  |  |
| P12 | BMINA-UNID-ARR |  |  |
| P13.a | LIBRO1 | 70 | 0 |
| P13.b | LIBRO2 | 70 | 0 |
| P15.a | EST-INGR |  | 30 |
| P15.b | EST-PROM-EST |  |  |
| P15.c | EST-PROM-ALL |  |  |
| P15.d | EST-FAL-EV |  |  |
| P15.e | EST-BUSQ-MAT |  |  |
| P15.f | EST-BUSQ-NOM |  |  |
| P15.g | EST-ORD-NOM-MAT |  |  |
| P15.h | EST-IMP-EST-CAL |  |  |
| P15.i | EST-IMP-NOM-HIGH-CAL |  |  |
| P16 | BMINA-STRUCT |  |  |
